,created_at,sentiment,text
93,Tue Nov 13 06:28:26 +0000 2018,0.0,"""Oil falls after Trump calls on OPEC not to cut supply"" via FOX BIZ https://t.co/GJfK7DQq9p https://t.co/CP8fNrapEx"
94,Tue Nov 13 06:28:26 +0000 2018,0.0,@DeepStateExpose Macron keeps rubbing him like a gold lamp only I doubt President Trump will grant him the 3 wishes...maybe only 1☺️
95,Tue Nov 13 06:28:26 +0000 2018,0.0,"First Trump was tweeting about the democrat attempt to steal the election, AS PER USUAL, NO ONE, has mentioned the… https://t.co/fd4QIjtVYO"
96,Tue Nov 13 06:28:26 +0000 2018,0.0,Commemorating end of WW1 &amp; 17M lives lost which was started through the clash of Empires: this is deeply inappropri… https://t.co/xh1BqLfeuR
97,Tue Nov 13 06:28:25 +0000 2018,0.0,Truth and Virtue in the Age of Trump   via @NYTimes https://t.co/EWNict7z7h
98,Tue Nov 13 06:28:24 +0000 2018,0.3,I liked a @YouTube video https://t.co/qcnwzIZBvd BREAKING: Trump Takes Major Step To Stop Election Theft As Dem Lawyers Demand Vote
99,Tue Nov 13 06:28:24 +0000 2018,-0.1,"@realDonaldTrump Thank you President Trump 
long days here ahead."
100,Tue Nov 13 06:28:23 +0000 2018,0.2,"Oh, yes, Baraboo High School was joking, Trump was joking, Tucker Carlson was joking, Dinesh D'Souza was joking, th… https://t.co/vCOHG5k8yi"
101,Tue Nov 13 06:28:18 +0000 2018,-0.1,Donald Trump Jr. tries to cast doubt on the vote in Florida by sharing an already-updated story from 2012 - The Was… https://t.co/p4ftWw8W1p
102,Tue Nov 13 06:28:18 +0000 2018,0.0,@Turnip2020 @DrRachaelF @realDonaldTrump @DonaldJTrumpJr @EricTrump @DLoesch I thought a federal judge ordered him… https://t.co/p7NsIdux5p
103,Tue Nov 13 06:28:18 +0000 2018,0.5,"Trump deserves more than this from all GOP Governors and Congressional leaders.

Obama &amp; Hillary sold off 20% of US… https://t.co/8oNKvwgfqc"
104,Tue Nov 13 06:28:17 +0000 2018,0.0,"“People like Donald Trump who have severe narcissistic disturbances can’t tolerate being criticized,” says Dodes, “… https://t.co/WD58GFeuMo"
105,Tue Nov 13 06:28:17 +0000 2018,0.0,Do those “name” t-shirts exist but with TRUMP &amp; PENCE &amp; HUCKABEE-SANDERS &amp; REVOLVING DOOR?
106,Tue Nov 13 06:28:15 +0000 2018,0.7,I liked a @YouTube video https://t.co/GcyCdzduz1 Did Trump Win or Lose? Prophetic Impact of Mid-Term Elections ~Cioccolanti
